"Mo-Mac" "LAM" "PVM" "IM"
"2116" 9.89010989010989 35.1648351648352 19.7802197802198 35.1648351648352
"3007" 23.943661971831 14.5539906103286 38.4976525821596 23.0046948356808
"3011" 13.8248847926267 28.5714285714286 32.7188940092166 24.8847926267281
"3012" 19.7080291970803 15.3284671532847 44.1605839416058 20.8029197080292
"3013" 4.16666666666667 20.8333333333333 50 25
"3014" 20.2380952380952 9.52380952380952 63.0952380952381 7.14285714285714
"3015" 51.7241379310345 3.44827586206897 17.2413793103448 27.5862068965517
"3018" 21.9178082191781 23.2876712328767 22.3744292237443 32.4200913242009
"3019" 31.3186813186813 26.9230769230769 15.3846153846154 26.3736263736264
"3020" 13.6842105263158 41.0526315789474 12.6315789473684 32.6315789473684
"3021" 10.3389830508475 21.5254237288136 20.8474576271186 47.2881355932203
"3022" 22.2929936305732 18.312101910828 27.8662420382166 31.5286624203822
"3023" 16.6666666666667 20.6521739130435 22.463768115942 40.2173913043478
"3024" 22.4561403508772 19.4736842105263 26.140350877193 31.9298245614035
"3026" 29.0697674418605 16.2790697674419 26.7441860465116 27.906976744186
"3028" 16.4341085271318 11.7829457364341 31.3178294573643 40.4651162790698
"3029" 21.505376344086 36.2007168458781 6.81003584229391 35.4838709677419
"3031" 14.5214521452145 28.0528052805281 16.1716171617162 41.2541254125413
"3032" 11.0795454545455 41.1931818181818 13.6363636363636 34.0909090909091
"3035" 20.7729468599034 20.7729468599034 29.951690821256 28.5024154589372
"3037" 18.2741116751269 31.4720812182741 16.751269035533 33.502538071066
"5001" 25.2577319587629 24.7422680412371 14.4329896907216 35.5670103092784
"5002" 37.2832369942197 18.2080924855491 26.0115606936416 18.4971098265896
"5003" 11.8243243243243 23.6486486486486 37.8378378378378 26.6891891891892
"5004" 24.6861924686192 13.3891213389121 34.5188284518828 27.4058577405858
"5005" 15.158371040724 26.6968325791855 36.1990950226244 21.9457013574661
"5008" 14.0540540540541 24.3243243243243 32.972972972973 28.6486486486486
"5009" 5.26859504132231 28.6157024793388 16.4256198347107 49.6900826446281
"5010" 22.4165341812401 17.9650238473768 37.9968203497615 21.6216216216216
"5011" 23.2804232804233 14.8148148148148 35.4497354497354 26.4550264550265
"5012" 30.2702702702703 11.8918918918919 44.3243243243243 13.5135135135135
"5013" 27.4193548387097 12.3655913978495 35.4838709677419 24.7311827956989
"5015" 22.7053140096618 30.4347826086957 15.9420289855072 30.9178743961353
"5016" 23.6734693877551 8.97959183673469 50.2040816326531 17.1428571428571
"5017" 14.2857142857143 33.7662337662338 16.8831168831169 35.0649350649351
"5018" 31.4024390243902 24.6951219512195 14.0243902439024 29.8780487804878
"5019" 3.64963503649635 45.2554744525547 19.7080291970803 31.3868613138686
"5020" 8.19434372733865 41.2617839013778 12.037708484409 38.5061638868745
"5021" 23.2902033271719 26.0628465804067 22.735674676525 27.9112754158965
"5022" 14.721723518851 16.1579892280072 29.802513464991 39.3177737881508
