"Fibro-adipogenic" "Lymphoid" "Myeloid" "Vascular"
"5020" 14.1599204658429 0.511291009799744 81.1674478057094 4.16134071864792
"5021" 22.3309608540925 1.15658362989324 39.4128113879004 37.0996441281139
"5022" 49.6600650310375 4.55217262784511 21.4306828258942 24.3570795152232
"5024" 37.5892857142857 12.2321428571429 13.8392857142857 36.3392857142857
"5026" 15.625 1.875 77.8125 4.6875
"5027" 34.8969438521677 9.95024875621891 20.4690831556503 34.683724235963
"5028" 26.922214750056 0.47074646940148 4.81954718672943 67.787491593813
"5029" 56.8493150684932 6.62100456621005 6.48401826484018 30.0456621004566
"5030" 38.7941787941788 5.82120582120582 4.86486486486486 50.5197505197505
"5031" 45.9012575687005 1.56031672100605 17.2566371681416 35.2817885421518
"5032" 68.6150780471604 4.64961806708735 10.5280637661906 16.2072401195616
"5033" 45.1484271156402 7.24412937527692 24.9224634470536 22.6849800620292
