"Lymphoid" "Myeloid" "Stromal" "Vascular"
"3007" 49.7539975399754 32.4108241082411 17.7736777367774 0.0615006150061501
"3011" 0.552922590837283 17.8909952606635 81.3586097946288 0.197472353870458
"3012" 42.7149020909393 37.4377696647859 18.0219050779954 1.82542316627946
"3013" 62.1915103652517 31.8854886475814 5.92300098716683 0
"3014" 63.4376051126808 28.5570131180626 7.50084090144635 0.504540867810293
"3015" 19.7478991596639 26.0504201680672 42.0168067226891 12.1848739495798
"3018" 17.6508972267537 12.2675367047308 45.0570962479608 25.0244698205546
"3019" 18.4594953519256 25.9628154050465 35.3253652058433 20.2523240371846
"3020" 10.0133511348465 4.53938584779706 40.3738317757009 45.0734312416555
"3021" 6.15742699957681 15.9754549301735 48.2225983918747 29.6445196783749
"3022" 19.4196428571429 25.4712301587302 16.9146825396825 38.1944444444444
"3023" 25.8904109589041 21.4155251141553 38.9041095890411 13.7899543378995
"3024" 23.1843575418994 27.3743016759777 40.3631284916201 9.07821229050279
"3026" 31.9604612850082 26.0296540362438 28.500823723229 13.5090609555189
"3028" 21.0831721470019 15.3771760154739 27.7756286266925 35.7640232108317
"3029" 0.468795780837972 13.419279226487 59.0389686492822 27.0729563433929
"3031" 0.410076157000586 26.713532513181 52.3140011716462 20.5623901581722
"3032" 13.7603305785124 21.0330578512397 34.7107438016529 30.495867768595
"3035" 11.4933541829554 25.2541047693511 24.5504300234558 38.7021110242377
"3037" 6.75675675675676 55.9121621621622 37.1621621621622 0.168918918918919
"5001" 8.57681432610745 36.9462770970782 52.1206409048068 2.35626767200754
"5002" 3.54383160138556 16.0671462829736 76.15241140421 4.23661071143086
"5003" 5.15926424405563 10.0717810677434 64.4459398833558 20.3230148048452
"5004" 16.1221590909091 28.0539772727273 31.2144886363636 24.609375
"5005" 1.63301662707838 19.8040380047506 56.2945368171021 22.2684085510689
"5008" 8.73706004140787 12.4223602484472 42.2774327122153 36.5631469979296
"5009" 1.2035010940919 41.9766593727206 42.6331145149526 14.1867250182349
"5010" 17.08612329716 23.7820364811822 46.4788732394366 12.6529669822212
"5011" 8.58739837398374 14.7103658536585 50.2286585365854 26.4735772357724
"5012" 7.13426853707415 14.7094188376754 61.6432865731463 16.5130260521042
"5013" 17.827868852459 25.5464480874317 46.5846994535519 10.0409836065574
"5015" 33.6248012718601 38.1558028616852 24.8012718600954 3.4181240063593
"5016" 26.0425296879315 27.809997238332 34.7694007180337 11.3780723557028
"5017" 4.49438202247191 20.4890945142102 52.2141440846001 22.8023793787178
"5018" 1.20068610634648 50.0857632933105 31.1320754716981 17.5814751286449
"5019" 1.57273918741809 25.8191349934469 55.1769331585845 17.4311926605505
"5020" 0.10350436196954 81.1769924589679 14.446251663463 4.27325151559959
"5021" 0.864260294865277 43.5688866293848 25.775292323335 29.7915607524148
"5022" 5.05529225908373 23.001579778831 52.1642969984202 19.7788309636651
"5024" 13.8842422214788 15.2893944463031 41.9872867179659 28.8390766142523
"5026" 0.662251655629139 76.158940397351 15.2317880794702 7.94701986754967
"5027" 11.7008443908323 23.2408524326498 39.0832328106152 25.9750703659027
"5028" 0.697211155378486 7.20451527224436 39.4090305444887 52.6892430278884
"5029" 7.72464529689963 7.51445086705202 64.6873357856017 20.0735680504467
"5030" 7.19898605830165 5.90621039290241 46.5652724968314 40.3295310519645
"5031" 1.90713101160862 20.0663349917081 54.4776119402985 23.5489220563847
"5032" 4.83646485734168 11.0299234516354 72.1990257480863 11.9345859429367
