"Mo-Mac" "LAM" "PVM" "IM"
"3028" 16.6919575113809 11.6843702579666 32.3216995447648 39.3019726858877
"3029" 21.1221122112211 33.003300330033 6.27062706270627 39.6039603960396
"3031" 14.5454545454545 30 13.6363636363636 41.8181818181818
"3032" 10.7894736842105 40 13.4210526315789 35.7894736842105
"3035" 22.2222222222222 21.7592592592593 27.3148148148148 28.7037037037037
"3037" 17.2248803827751 28.2296650717703 12.9186602870813 41.6267942583732
"1101" NA NA NA NA
"1102" NA NA NA NA
"1104" NA NA NA NA
"1105" NA NA NA NA
"1106" NA NA NA NA
"1110" NA NA NA NA
"1111" NA NA NA NA
"1114" NA NA NA NA
"1115" NA NA NA NA
"1116" NA NA NA NA
"1118" NA NA NA NA
"1119" NA NA NA NA
"1120" NA NA NA NA
"1122" NA NA NA NA
"1123" NA NA NA NA
"1125" NA NA NA NA
"1127" NA NA NA NA
"1128" NA NA NA NA
"1129" NA NA NA NA
"1130" NA NA NA NA
"1131" NA NA NA NA
"1133" NA NA NA NA
"1142" NA NA NA NA
"1143" NA NA NA NA
"1146" NA NA NA NA
"1150" NA NA NA NA
"1152" NA NA NA NA
"1153" NA NA NA NA
"1154" NA NA NA NA
"1156" NA NA NA NA
"1160" NA NA NA NA
"1162" NA NA NA NA
"1163" NA NA NA NA
"1164" NA NA NA NA
"1166" NA NA NA NA
"1168" NA NA NA NA
"1169" NA NA NA NA
"1170" NA NA NA NA
"1171" NA NA NA NA
"1173" NA NA NA NA
"1174" NA NA NA NA
"1178" NA NA NA NA
"1179" NA NA NA NA
"2101" NA NA NA NA
"2102" NA NA NA NA
"2103" NA NA NA NA
"2104" NA NA NA NA
"2105" NA NA NA NA
"2106" NA NA NA NA
"2109" NA NA NA NA
"2115" NA NA NA NA
"2117" NA NA NA NA
"2118" NA NA NA NA
"2120" NA NA NA NA
"2121" NA NA NA NA
"2122" NA NA NA NA
"2123" NA NA NA NA
"2124" NA NA NA NA
"3001" NA NA NA NA
"3002" NA NA NA NA
"3003" NA NA NA NA
"3004" NA NA NA NA
"3005" NA NA NA NA
"3006" NA NA NA NA
"3008" NA NA NA NA
"3009" NA NA NA NA
"3010" NA NA NA NA
"3016" NA NA NA NA
"3017" NA NA NA NA
"3025" NA NA NA NA
"3027" NA NA NA NA
"3030" NA NA NA NA
"3033" NA NA NA NA
"3034" NA NA NA NA
"3039" NA NA NA NA
